No,store,address,phone,address2,경도,위도,상태
1,학동역 DT점,서울시 강남구 학동로 211 1층  ,02-3444-9973,서울특별시 강남구 학동로 211 1층,127.032052480207,37.5146783674783,정좌표
2,차병원점,서울시 강남구 논현로 566 강남차병원1층  ,02-538-7615,서울특별시 강남구 논현로 566 강남차병원1층,127.034824313484,37.5064397339232,정좌표
3,강남대로점,서울시 서초구 강남대로 369 1층  ,02-588-5778,서울특별시 서초구 강남대로 369 1층,127.028216662926,37.4956614022321,정좌표
4,메가박스점,서울 강남구 삼성동 159 코엑스몰 지하2층  ,02-6002-3320,서울특별시 강남구 삼성동 159 코엑스몰 지하2층,127.058794970892,37.5125118333676,정좌표
5,압구정에스점,서울시 강남구 압구정로 46길 3  ,02-541-5832,서울특별시 강남구 압구정로 46길 3,127.036904860838,37.5282787593524,정좌표
6,강남에스점,서울시 서초구 서초 1306-3호  ,02-593-5095,서울특별시 서초구 서초 1306-3호,127.013501345624,37.4768809947035,인근좌표
7,청담에스점,"서울시 강남구 압구정로 461 네이처포엠빌딩B108,109호  ",02-548-6052,"서울특별시 강남구 압구정로 461 네이처포엠빌딩B108,109호",127.047232824336,37.5252552798862,정좌표
8,신사점,서울시 강남구 도산대로 126  ,02-548-2741,서울특별시 강남구 도산대로 126,127.022411135765,37.516968700505,정좌표
9,압구정역점,서울시 강남구 논현로 842 압구정빌딩1층  ,02-544-6823,서울특별시 강남구 논현로 842 압구정빌딩1층,127.02873118599,37.5240392622953,정좌표
10,역삼점,"서울시 강남구 논현로 512  지상1,2층  ",02-569-8051,"서울특별시 강남구 논현로 512 지상1,2층",127.036521295531,37.5023497311026,정좌표
11,양재스포타임점,서울시 서초구 강남대로 213 24호 지하1층  ,02-578-6833,서울특별시 서초구 강남대로 213 24호 지하1층,127.035612103466,37.4823426363184,정좌표
12,청담성당점,서울시 강남구 삼성로 716 LEE76빌딩2층  ,02-542-2053,서울특별시 강남구 삼성로 716 LEE76빌딩2층,127.050032054961,37.5198984032308,정좌표
13,영동점,서울 서초구 반포동 736-17 P빌딩 2층  ,02-3443-2096,서울특별시 서초구 반포동 736-17 P빌딩 2층,127.022799337832,37.5068422387096,정좌표
14,도곡점,"서울시 강남구 언주로 30길 10,112 현대비젼21 112호  ",02-572-2781,"서울특별시 강남구 언주로 30길 10,112 현대비젼21 112호",127.051554393149,37.4873391776634,정좌표
15,영동고앞점,"서울시 강남구 선릉로 749 1,2층  ",02-544-3794,"서울특별시 강남구 선릉로 749 1,2층",127.039475588842,37.5214576204062,정좌표
16,공항터미널앞점,서울시 강남구 테헤란로 87길 17 1층  ,02-539-5174,서울특별시 강남구 테헤란로 87길 17 1층,127.058342500333,37.5087428437294,정좌표
17,교대점,서울시 서초구 서초중앙로 118  1층  ,02-585-3981,서울특별시 서초구 서초중앙로 118 1층,127.014229855508,37.4923913712568,정좌표
18,대치한티점,서울시 강남구 선릉로 64길 23 1층  ,02-557-0510,서울특별시 강남구 선릉로 64길 23 1층,127.054171517116,37.4982961074544,정좌표
19,압구정시티점,"서울시 강남구 도산대로49길 13 1층 17,18호  ",02-543-5922,"서울특별시 강남구 도산대로49길 13 1층 17,18호",127.036960497339,37.5237417365894,정좌표
20,압구정로데오점,서울시 강남구 선릉로 157길 12 석전빌딩 1~4층  ,02-3445-5093,서울특별시 강남구 선릉로 157길 12 석전빌딩 1~4층,127.039012658388,37.5261147403725,정좌표
21,서초우성점,서울시 서초구 강남대로 51길 1 511 TOWER  1층  ,02-582-0158,서울특별시 서초구 강남대로 51길 1 511 TOWER 1층,127.030262676608,37.4912878654934,정좌표
22,논현팍스타워점,서울시 강남구 논현 231-13호 팍스타워지하1층  ,02-513-3870,서울특별시 강남구 논현 231-13호 팍스타워지하1층,127.06235572781,37.4960708164601,인근좌표
23,삼성오크우드점,서울 강남구 영동대로 513 컨벤션별관A동 지하 2층  ,02-3466-8507,서울특별시 강남구 영동대로 513 컨벤션별관A동 지하 2층,127.059158839911,37.5118240312473,정좌표
24,트레이드타워점,서울시 강남구 영동대로 511 트레이드타워 지하1층  ,02-6002-6470,서울특별시 강남구 영동대로 511 트레이드타워 지하1층,127.061023127488,37.5103560822663,정좌표
25,삼성봉은사거리점,"서울시 강남구 영동대로 607 1,2층  ",02-3443-5618,"서울특별시 강남구 영동대로 607 1,2층",127.059489346185,37.514551871354,정좌표
26,대치포스코뒷점,서울시 강남구 삼성로 85길 11 롯데캐슬아파트생활편익시설동  ,02-3453-8077,서울특별시 강남구 삼성로 85길 11 롯데캐슬아파트생활편익시설동,127.0563005564,37.5049786892454,정좌표
27,반포엘루체점,서울시 서초구 신반포로 23 1141호 엘루체백화점내1층1013~1015호  ,02-3477-5571,서울특별시 서초구 신반포로 23 1141호 엘루체백화점내1층1013~1015호,126.987232168274,37.5017482910184,정좌표
28,잠실신천점,서울시 송파구 석촌호수로 118 1층  ,02-416-9520,서울특별시 송파구 석촌호수로 118 1층,127.090021683082,37.5074374038961,정좌표
29,서초지파이브점,"서울시 서초구 서초동 1685-8호 101~2호,113~4호,121호  ",02-3477-5580,"서울특별시 서초구 서초동 1685-8호 101~2호,113~4호,121호",127.016441592039,37.495396193257,정좌표
30,논현동수면센터점,서울시 강남구 논현로 717 1층  ,02-3443-5575,서울특별시 강남구 논현로 717 1층,127.029537315387,37.5159618224913,정좌표
31,삼성전자강남사옥점,서울시 서초구 서초대로74길 11 지하2층  ,02-2055-1142,서울특별시 서초구 서초대로74길 11 지하2층,127.026914524086,37.496633087961,정좌표
32,삼성생명강남사옥점,서울시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층  ,02-581-5562,서울특별시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층,127.025703343131,37.4967442363015,정좌표
33,방배카페골목점,서울특별시 서초구 방배중앙로 187  ,02-592-7794,서울특별시 서초구 방배중앙로 187,126.985531307483,37.4957085615249,정좌표
34,역삼포스틸타워뒷점,서울시 강남구 테헤란로 20길 10 쓰리엠타워1층  ,02-554-9962,서울특별시 강남구 테헤란로 20길 10 쓰리엠타워1층,127.034141642198,37.4990864652918,정좌표
35,테헤란로하이닉스뒷점,서울시 강남구 테헤란로 70길 12 1층  ,02-538-9927,서울특별시 강남구 테헤란로 70길 12 1층,127.053159458023,37.5047426810061,정좌표
36,삼성봉은사로점,서울시 강남구 봉은사로 628 엘슨빌딩1층  ,02-538-4523,서울특별시 강남구 봉은사로 628 엘슨빌딩1층,127.064166929147,37.5146728799944,정좌표
37,방이점,서울시 송파구 오금로 11길 7  ,02-415-5561,서울특별시 송파구 오금로 11길 7,127.107967496018,37.5145559714117,정좌표
38,매봉역점,서울시 강남구 논현로 38길 42 418호  ,02-529-9947,서울특별시 강남구 논현로 38길 42 418호,127.045053218148,37.4855746946515,정좌표
39,남부터미널역점,서울시 서초구 서초중앙로 43 로얄타워1층  ,02-523-3671,서울특별시 서초구 서초중앙로 43 로얄타워1층,127.015577144311,37.4855386360699,정좌표
40,강남역랭기지타워점,서울시 강남구 테헤란로4길 28 826-28호 1층  ,02-563-3655,서울특별시 강남구 테헤란로4길 28 826-28호 1층,127.030094133482,37.4965229231532,정좌표
41,도심공항타워점,서울시 강남구 테헤란로87길 36 공항타워 1층  ,02-2016-5330,서울특별시 강남구 테헤란로87길 36 공항타워 1층,127.058597497443,37.5102343730098,정좌표
42,청담카페점,"서울시 강남구 도산대로 67길 7,파크빌딩 1층  ",02-514-5622,"서울특별시 강남구 도산대로 67길 7,파크빌딩 1층",127.044386967268,37.5244882785778,정좌표
43,동부이촌동점,서울시 용산구 이촌로 303 현대아파트상가11동102호  ,02-792-3677,서울특별시 용산구 이촌로 303 현대아파트상가11동102호,126.97951342344,37.5183523827614,정좌표
44,광화문점,서울 종로구 서린동 136 센트리얼빌딩 1층  ,02-3210-2326,서울특별시 종로구 서린동 136 센트리얼빌딩 1층,126.978835655828,37.5697756151341,정좌표
45,대학로점,서울시 종로구 대학로 10길 5 1-60호  ,02-762-3146,서울특별시 종로구 대학로 10길 5 1-60호,127.002580315443,37.5818617664211,정좌표
46,경희궁의아침점,서울시 종로구 새문안로3길 23 경희궁아침상가4단지105외  ,02-730-8896,서울특별시 종로구 새문안로3길 23 경희궁아침상가4단지105외,126.972244210421,37.5725476713753,정좌표
47,홍대역점,서울시 마포구 홍익로 6길 26  ,02-333-4278,서울특별시 마포구 홍익로 6길 26,126.923264448377,37.5554689775625,정좌표
48,순화점,서울시 중구 순화202  1-94 프레이저플레이스레지던스1층  ,02-2220-8198,서울특별시 중구 순화202 1-94 프레이저플레이스레지던스1층,126.992983330103,37.5578666138225,인근좌표
49,종로관철동점,"서울시 종로구 청계천로 83 11-4호 지하1,지상1~3층  ",02-738-5333,"서울특별시 종로구 청계천로 83 11-4호 지하1,지상1~3층",126.986732560751,37.5684833866888,정좌표
50,소공동삼화빌딩점,서울 중구 남대문로7길 16 한컴빌딩 1층  ,02-753-8004,서울특별시 중구 남대문로7길 16 한컴빌딩 1층,126.981162933563,37.5641652037186,정좌표
51,강변테크노마트점,서울시 광진구 광나루로56길 85 테크노마트9층35호  ,02-3424-5480,서울특별시 광진구 광나루로56길 85 테크노마트9층35호,127.095691814388,37.5357246009999,정좌표
52,외대앞점,서울시 동대문구 이문로 106 1~3층  ,02-959-7750,서울특별시 동대문구 이문로 106 1~3층,127.06021707657,37.5960671177123,정좌표
53,고대안암역점,서울시 성북구 개운사길8 101-3 1층  ,02-953-6652,서울특별시 성북구 개운사길8 101-3 1층,127.029573440743,37.5869873360998,정좌표
54,순화동라마다호텔점,서울시 중구 칠패로 27 151호  ,02-3789-3347,서울특별시 중구 칠패로 27 151호,126.972035748719,37.5602669735527,정좌표
55,왕십리민자역사점,서울시 성동구 왕십리 광장로 17 왕십리민자역사ENTER6내1층  ,02-2200-6120,서울특별시 성동구 왕십리 광장로 17 왕십리민자역사ENTER6내1층,127.038394538982,37.5614419137754,정좌표
56,세종문화회관옆점,서울 종로구 새문안로 9길 25 1층  ,02-720-5561,서울특별시 종로구 새문안로 9길 25 1층,126.975481453415,37.5713508707712,정좌표
57,신촌점,서울시 서대문구 창천 18-26호 B1  ,02-363-5572,서울특별시 서대문구 창천 18-26호 B1,126.93309203041,37.5828087702387,인근좌표
58,건대스타시티점,서울시 광진구 자양동 227-342호 롯데백화점 옆 더클래식500건물 1층  ,02-444-9861,서울특별시 광진구 자양동 227-342호 롯데백화점 옆 더클래식500건물 1층,127.071111872461,37.5387794377982,정좌표
59,하나은행경복궁역점,"서울시 종로구 사직로 130,1 현대적선빌딩1층  ",02-733-5108,"서울특별시 종로구 사직로 130,1 현대적선빌딩1층",126.97306310829,37.5758614305055,정좌표
60,중계동은행사거리점,서울시 노원구 한글비석로 263 1층  ,02-931-3055,서울특별시 노원구 한글비석로 263 1층,127.076470736359,37.6512097887751,정좌표
61,서울스퀘어점,서울시 중구 한강대로 416 지하1층  ,02-6456-8907,서울특별시 중구 한강대로 416 지하1층,126.973751345556,37.5555042489618,정좌표
62,목동점,서울시 양천구 목동동로 293 현대41타워1층  ,02-2654-5981,서울특별시 양천구 목동동로 293 현대41타워1층,126.875771750531,37.5281780301864,정좌표
63,여의도34번지점,서울 영등포구 국제금융로 52 심팩빌딩 1층  ,02-783-2043,서울특별시 영등포구 국제금융로 52 심팩빌딩 1층,126.929505974683,37.5227285022854,정좌표
64,여의도교보증권점,서울시 영등포구 의사당대로 97 26-4 교보증권빌딩1층  ,02-783-6058,서울특별시 영등포구 의사당대로 97 26-4 교보증권빌딩1층,126.924586233201,37.5225165232988,정좌표
65,시흥홈플러스점,서울시 금천구 시흥대로 201 1층  ,02-803-9994,서울특별시 금천구 시흥대로 201 1층,126.900794779167,37.4519042630777,정좌표
66,여의도순복음교회옆점,서울시 영등포구 여의서로 43 한서리버파크2층  ,02-780-7758,서울특별시 영등포구 여의서로 43 한서리버파크2층,126.924842879708,37.5307290789004,정좌표
67,부산광복동점,부산광역시 중구 창선동 2가 8-2  ,051-243-9105,부산광역시 중구 창선동 2가 8-2,129.029010934498,35.0994728757799,정좌표
68,인천구월동점,"인천광역시 남동구 예술로 138 지상1,2층  ",032-421-3418,"인천광역시 남동구 예술로 138 지상1,2층",126.701006330338,37.4462416075454,정좌표
69,대전탄방동점,대전시 서구 문정로76 1층  ,042-471-9805,대전광역시 서구 문정로76 1층,127.387695912515,36.3464182724971,정좌표
70,일산라페스타점,경기도 고양시 일산동구 장항동 764 라페스타C동  ,031-907-2326,경기도 고양시 일산동구 장항동 764 라페스타C동,126.768558748093,37.6615546739523,정좌표
71,일산웨스턴돔1호점,경기도 고양시 일산동구 정발산로 24 I동103~203호  ,031-931-5573,경기도 고양시 일산동구 정발산로 24 I동103~203호,126.772656200665,37.6548247788486,정좌표
72,분당서현점,"경기도 성남시 분당구 분당로53번길 11 1층2,3호  ",031-705-8926,"경기도 성남시 분당구 분당로53번길 11 1층2,3호",127.121552811583,37.3840673217881,정좌표
73,분당플라자점,경기도 성남시 분당구 황새울로 326 서현빌딩상가내2층  ,031-705-3188,경기도 성남시 분당구 황새울로 326 서현빌딩상가내2층,127.121865882334,37.3851307788035,정좌표
74,분당차병원점,"경기도 성남시 분당구 야탑로65번길 16, 분당차병원 신관동 1층 101호(야탑동)  ",031-781-0471,"경기도 성남시 분당구 야탑로65번길 16, 분당차병원 신관동 1층 101호(야탑동)",127.126361017394,37.4110214422359,정좌표
75,분당수내점,경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층  ,031-713-9937,경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층,127.112312191564,37.3781321825712,정좌표
76,동탄라마다호텔점,경기도 화성시 노작로 199 동탄라마다호텔107호~111호  ,031-8003-8374,경기도 화성시 노작로 199 동탄라마다호텔107호~111호,127.074679439672,37.2058415033267,정좌표
